Name,Category,Difficulty,Pattern Group,Question Link,Sub Category
2010. The Number of Seniors and Juniors to Join the Company II,CTE,Hard,,https://leetcode.com/problems/the-number-of-seniors-and-juniors-to-join-the-company-ii,"Having, Union, WHERE"
2118. Build the Equation,CTE,Hard,,https://leetcode.com/problems/build-the-equation,Case
2153. The Number of Passengers in Each Bus II,Aggregate Function,Hard,,https://leetcode.com/problems/the-number-of-passengers-in-each-bus-ii,AND
3061. Calculate Trapping Rain Water,,Hard,,https://leetcode.com/problems/calculate-trapping-rain-water,
3060. User Activities within Time Bounds,,Hard,,https://leetcode.com/problems/user-activities-within-time-bounds,
"3057. Employees Project Allocation ",,Hard,,https://leetcode.com/problems/employees-project-allocation,
2995. Viewers Turned Streamers,,Hard,,https://leetcode.com/problems/viewers-turned-streamers,
2994. Friday Purchases II,CTE,Hard,,https://leetcode.com/problems/friday-purchases-ii,"Left Outer Join, Recrusive CTE"
"2991. Top Three Wineries ",Join,Hard,,https://leetcode.com/problems/top-three-wineries,
2793. Status of Flight Tickets,,Hard,,https://leetcode.com/problems/status-of-flight-tickets,
2752. Customers with Maximum Number of Transactions on Consecutive Days,,Hard,,https://leetcode.com/problems/customers-with-maximum-number-of-transactions-on-consecutive-days,
2720. Popularity Percentage,,Hard,,https://leetcode.com/problems/popularity-percentage,
2494. Merge Overlapping Events in the Same Hall,,Hard,,https://leetcode.com/problems/merge-overlapping-events-in-the-same-hall,
https://leetcode.com/problems/generate-the-invoice,,Hard,,,
2253. Dynamic Unpivoting of a Table,Stored Procedure,Hard,,https://leetcode.com/problems/dynamic-unpivoting-of-a-table,Execute
2252. Dynamic Pivoting of a Table,Stored Procedure,Hard,,https://leetcode.com/problems/dynamic-pivoting-of-a-table,Execute
2199. Finding the Topic of Each Post,Join,Hard,,https://leetcode.com/problems/finding-the-topic-of-each-post,Group BY
2984. Find Peak Calling Hours for Each City,,Hard,,https://leetcode.com/problems/find-peak-calling-hours-for-each-city,
3103. Find Trending Hashtags II,,Hard,,https://leetcode.com/problems/find-trending-hashtags-ii,
3156. Employee Task Duration and Concurrent Tasks,,Hard,,https://leetcode.com/problems/employee-task-duration-and-concurrent-tasks,
3236. CEO Subordinate Hierarchy,,Hard,,https://leetcode.com/problems/ceo-subordinate-hierarchy,
3268. Find Overlapping Shifts II,,Hard,,https://leetcode.com/problems/find-overlapping-shifts-ii,
